NUM,LOCATION,X,Y
1126062000,서울특별시 중랑구 묵제1동,963048,1957126
1126063000,서울특별시 중랑구 묵제2동,962450,1956919
1126064000,서울특별시 중랑구 망우제1동,965450,1955975
1126065000,서울특별시 중랑구 망우제2동,965450,1955975
1126065500,서울특별시 중랑구 망우본동,965450,1955975
1126066000,서울특별시 중랑구 망우제3동,964935,1954763
1126068000,서울특별시 중랑구 신내1동,964572,1956822
1126069000,서울특별시 중랑구 신내2동,964013,1956697
1129051000,서울특별시 성북구 성북제1동,955448,1955216
1129052000,서울특별시 성북구 성북제2동,955448,1955216
1129052500,서울특별시 성북구 성북동,955448,1955216
1129053000,서울특별시 성북구 동소문동,956853,1954215
1129054000,서울특별시 성북구 삼선제1동,956853,1954215
1129055000,서울특별시 성북구 삼선제2동,957070,1954295
1129055500,서울특별시 성북구 삼선동,956853,1954215
1129056000,서울특별시 성북구 동선제1동,957461,1955025
1129057000,서울특별시 성북구 동선제2동,957461,1955025
1129057500,서울특별시 성북구 동선동,957461,1955025
1129058000,서울특별시 성북구 돈암제1동,957920,1955650
1129059000,서울특별시 성북구 돈암제2동,956682,1955377
1129060000,서울특별시 성북구 안암동,958226,1954259
1129061000,서울특별시 성북구 보문동,957466,1953854
1129062000,서울특별시 성북구 정릉제1동,957279,1956403
1129063000,서울특별시 성북구 정릉제2동,956612,1956193
1129064000,서울특별시 성북구 정릉제3동,955990,1957374
1129065000,서울특별시 성북구 정릉제4동,955683,1958206
1129066000,서울특별시 성북구 길음제1동,957627,1956622
1129067000,서울특별시 성북구 길음제2동,958257,1956603
1129068000,서울특별시 성북구 길음제3동,958257,1956603
1129068500,서울특별시 성북구 길음제2동,958257,1956603
1129069000,서울특별시 성북구 종암제1동,958811,1955461
1129070000,서울특별시 성북구 종암제2동,958811,1955461
1129070500,서울특별시 성북구 종암동,958811,1955461
1129071500,서울특별시 성북구 월곡제1동,959081,1956565
1129072500,서울특별시 성북구 월곡제2동,959839,1956064
1129073500,서울특별시 성북구 월곡제3동,959081,1956565
1129074500,서울특별시 성북구 월곡제4동,959081,1956565
1129075000,서울특별시 성북구 상월곡동,959839,1956064
1129076000,서울특별시 성북구 장위제1동,959763,1957444
1129077000,서울특별시 성북구 장위제2동,960582,1957120
1129078000,서울특별시 성북구 장위제3동,960656,1957760
1129079000,서울특별시 성북구 석관제1동,961186,1956615
1129080000,서울특별시 성북구 석관제2동,961186,1956615
1129081000,서울특별시 성북구 석관동,961186,1956615
1130553100,서울특별시 강북구 미아제1동,956896,1958441
1130553200,서울특별시 강북구 미아제2동,956896,1958441
1130553300,서울특별시 강북구 미아제3동,958166,1958943
1130553400,서울특별시 강북구 삼양동,956896,1958441
1130553500,서울특별시 강북구 미아동,958166,1958943
1130554000,서울특별시 강북구 미아제4동,958882,1957658
1130554500,서울특별시 강북구 송중동,958882,1957658
1130555000,서울특별시 강북구 미아제5동,958113,1957757
1130555500,서울특별시 강북구 송천동,958113,1957757
1130556500,서울특별시 강북구 미아제6.7동,957358,1957534
1130557500,서울특별시 강북구 삼각산동,957358,1957534
1130558000,서울특별시 강북구 미아제8동,958025,1958082
1130558100,서울특별시 강북구 미아제9동,958882,1957658
1130559000,서울특별시 강북구 번제1동,958557,1959978
1130559500,서울특별시 강북구 번제1동,958555,1959978
